Comment,Designator,Footprint,JLCPCB
40.2K,R4,R_0603_1608Metric,C12447
22uf,"C5,C6,C7,C8",C_1206_3216Metric,C12891
10uf,"C1,C2",C_0805_2012Metric,C15850
10K,"R1,R3",R_0603_1608Metric,C25804
68.1K,R2,R_0603_1608Metric,C23231
0.1uf,"C3,C4",C_0805_2012Metric,C28233
3.3uh,L1,L_5.5x5.5,C436534
TPS563200,U1,SOT-23-6,C97253
100K,RV1,tinySMDpot,C719186
